title,thumbnail,url,color,year,width,height,featured
Île de France: RA 2013 - Magazine,,http://idf-interactive.herokuapp.com/ra2013-magazine.html,,2013,1380,692,FALSE
Île de France: RA 2013 - Opendata,,http://idf-interactive.herokuapp.com/ra2013-opendata.html,,2013,1380,692,FALSE
Île de France: RA 2013 - Tourisme,,http://idf-interactive.herokuapp.com/ra2013-tourisme.html,,2013,1380,692,FALSE
Île de France: RA 2013 - Transports,,http://idf-interactive.herokuapp.com/ra2013-transports.html,,2013,1380,692,FALSE
Île de France: les parcs naturels,assets/images/thumbnails/idf-pnr.png,http://www.iledefrance.fr/zoom-region-demain/infographie-parcs-naturels-ile-france,#00975E,2013,,,FALSE
Ile de France: Baromêtre,,http://idf-barometre.herokuapp.com/barometre/#/,,2013,900,620,FALSE
Feowl: blackouts à Douala,assets/images/thumbnails/feowl.jpg,http://feowl.com/,#5999A2,2012,,,FALSE
Île de France: les lycées de votre région,assets/images/thumbnails/lycee.jpg,http://cartolycees.iledefrance.fr/,#E81C0C,2012,,,FALSE
AFP: The e-diplomacy hub,assets/images/thumbnails/afp.png,http://ediplomacy.afp.com,#323B90,2012,,,FALSE
Rue89: Alerte Politique !,assets/images/thumbnails/image-alerte-politique_0.png,https://itunes.apple.com/fr/app/alertepolitique/id503609138,#333239,2012,,,FALSE
Aucun Lien,assets/images/thumbnails/al-150x150.png,,#FF0095,2012,,,FALSE
RFI: les lois antiterroristes dans le monde,assets/images/thumbnails/1109.png,http://stm-own.france24.com/0911/,#910008,2011,,,FALSE
Influence Networks: cartographie des réseaux d’influence,assets/images/thumbnails/in.png,https://web.archive.org/web/20120515070728/http://influencenetworks.org/,#5C2980,2011,,,FALSE
Eurosport: Transferts 2011,assets/images/thumbnails/mercato.png,http://mercato2011.eurosport.com/,#892AB3,2011,,,FALSE
UPIAN & 5ème étage Prod: Opposition Birmane,assets/images/thumbnails/birmane.png,https://web.archive.org/web/20130123101501/http://app.owni.fr/burmese-opposition/fr/,#991B63,2011,,,FALSE
"France Inter: Serge Gainsbourg, aux Graph Et Cætera…",assets/images/thumbnails/gainsbourg.png,https://web.archive.org/web/20120330221607/http://owni.fr/2011/03/01/app-gainsbourg-influences-20-ans-anniversaire-verneuil/,#D0C78A,2011,,,FALSE
"OWNI: A Paris, la police aura des yeux tout partout",assets/images/thumbnails/camera.png,https://web.archive.org/web/20120330221607/http://owni.fr/2011/01/05/a-paris-la-police-aura-des-yeux-tout-partout/,#494397,2011,,,FALSE
Geoffrey Dorne: Graphisme & interactivité,assets/images/thumbnails/graphism.png,http://graphism.fr/,#3E3E3E,2011,,,FALSE
Radio Nova: Nuit Sujet #2,assets/images/thumbnails/nuit-sujet-2.png,https://web.archive.org/web/20130318184958/http://nuitsujet.com/hack/,#DBDB7E,2011,,,FALSE
Radio Nova: Nuit Sujet #1,assets/images/thumbnails/nuit-sujet-1.png,https://web.archive.org/web/20121020014003/http://app.owni.fr/nuit-sujet/2011-22-03/,#FF0032,2011,,,FALSE
Iconomani: Vern1ssage,assets/images/thumbnails/vern1ssage.png,http://web.archive.org/web/20110319043117/http://vern1ssage.com/,#F8D3A8,2011,,,FALSE
OWNI Live,assets/images/thumbnails/owni-live.png,https://web.archive.org/web/20110301145348/http://ownilive.com/,#D83500,2011,,,FALSE
OWNI Leaks,assets/images/thumbnails/owni-wl.png,https://web.archive.org/web/20120410044931/http://wikileaks.owni.fr/,#6AC3D5,2011,,,FALSE
FIDH: Despotic Mind,assets/images/thumbnails/despoticmind.png,https://web.archive.org/web/20120415133944/http://app.owni.fr/despoticmind/,#F37E00,2010,,,FALSE
Presseurop: Fonctionnement de la nouvelle Diplomatie Europeenne,assets/images/thumbnails/eeas.png,http://www.presseurop.eu/fr/eeas,#E90000,2010,,,FALSE
"Galerie Interactive, Argos et l’eau",assets/images/thumbnails/galerie.png,http://app.owni.fr/owni-gallery/?id=8&p=52567,#93AFC9,2010,,,FALSE
IFOP: l’emploi des jeunes,assets/images/thumbnails/ifop.png,http://owni.fr/2010/12/17/sondage-les-francais-les-jeunes-et-le-travail/,#7E1B41,2010,,,FALSE
Wikileaks: Warlogs Irakiens,assets/images/thumbnails/warlogs2.png,http://web.archive.org/web/20130311020454/http://warlogs.owni.fr/,#970003,2010,,,FALSE
La pilule de quel lendemain ?,assets/images/thumbnails/adolescente.png,http://app.owni.fr/adolescente/,#00BCBD,2010,,,FALSE
Wikileaks: Warlogs Afghans,assets/images/thumbnails/warlogs1.png,http://web.archive.org/web/20120331035757/http://app.owni.fr/warlogs/,#D90000,2010,,,FALSE
Ubsek et Rica: What if?,assets/images/thumbnails/whatif.png,https://web.archive.org/web/20120114141229/http://whatif.owni.fr/,#F7FA00,2010,,,FALSE
OWNI v2,assets/images/thumbnails/owni.jpg,https://web.archive.org/web/20120330221607/http://owni.fr/,#2D2D2F,2010,,,FALSE
RFI: Les objets symboles des indépendances africaines,assets/images/thumbnails/afrique.png,http://stm-own.france24.com/indeafrique/,#F1F631,2009,,,FALSE
"Branche ton Sontone, le webzine qui t’aide à pécho en te donnant une super culture musicale",assets/images/thumbnails/bts.png,http://branchetonsonotone.com,#BC0E23,2009,,,FALSE
